"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"1","In 2019, how many motor vehicle crashes took place in the United States?","14.2 million","4.5 million","36,500","None of the above","1","Section 1.1, A, “United States National Data on Traffic Crash Injuries and Fatalities” states, “14.2 million motor vehicle crashes took place in 2019, causing 4.5 million injuries and 36,500 fatalities.”"
"2.","What percentage of the country’s GDP was the cost of motor vehicle crashes in the U.S. in 2019?","0.5 percent","8 percent","1.6 percent","3 percent","3","Section 1.1, A, “United States National Data on Traffic Crash Injuries and Fatalities” states, “In 2019 alone, motor vehicle crashes cost the United States $339.8 billion, which is equivalent to 1.6 percent of the country’s GDP.”"
"3.","In 2020, how many car crashes took place in the state of Florida?","341,399","569,182","3,332","196,818","1","Section 1.1, B, “Florida-Specific Data on Traffic Crash Injuries and Fatalities” states, “In 2020 (the most recent year for which data is available), there were 341,399 crashes across the state of Florida, involving more than half a million drivers (569,182 people).”"
"4.","How many fatalities were caused by car crashes in Florida in 2020?","15,614","198,134","3,332","196,818","3","Section 1.1, B, “Florida-Specific Data on Traffic Crash Injuries and Fatalities” states, “The 341,399 car crashes that took place in Florida in 2020 resulted in a total of . . . 3,332 fatalities.”"
"5.","How many incapacitating (disabling) injuries were caused by car crashes in Florida in 2020?","1,546","15,614","8,563","10,400","2","Section 1.1, B, “Florida-Specific Data on Traffic Crash Injuries and Fatalities” states, “The 341,399 car crashes that took place in Florida in 2020 resulted in a total of . . . 15,614 incapacitating injuries.”"
"6.","If a driver was involved in a crash causing fatalities or injuries in Florida, their driver's license may be revoked for at least:","1 year","2 years","3 years","4 years","3","Section 1.1, C, i, “Crashes Involving Death or Personal Injury” states, “Legal consequences for crashes that cause fatalities or injuries may include . . . [h]aving one’s driver’s license revoked for a minimum of three years.”"
"7.","If a crash resulted in a fatality and the driver was under the influence, they may face:","A fine","Imprisonment for a minimum term of 4 years","A driver improvement course","Monetary or non-monetary restitution","2","Section 1.1, C, i, “Crashes Involving Death or Personal Injury” states, “If the crash results in a fatality, and especially if the driver was under the influence (more on this in section 1.2), imprisonment for a mandatory minimum term of four years.”"
"8.","According to Florida Statute 316.027, a ""serious bodily injury"" creates the substantial risk of what consequences?","Protracted loss or impairment of the function of a bodily member or organ","Serious personal disfigurement","Death","Any of the above","4","Section 1.1, C, i, “Crashes Involving Death or Personal Injury” states, “According to Florida Statute 316.027, ‘serious bodily injury’ is considered an injury ‘that creates a substantial risk of death, serious personal disfigurement, or protracted loss or impairment of the function of a bodily member or organ.’”"
"9.","What is the punishment for violating the requirement to remain at the scene of a crash involving vehicle or property damage in Florida?","Fines of up to $500 or imprisonment for up to 60 days","Revocation of driver's license","A driver improvement course","","1","Section 1.1, C, ii, “Crashes Involving Vehicle or Property Damage” states, “In Florida, a violation of this requirement constitutes a second-degree misdemeanor, which could be punishable by fines of up to $500 or imprisonment for up to 60 days.”"
"10.","The Florida Crash Dashboard provides a clear overview of:","Fatalities","Injuries","Types of crashes","All of the above","4","Section 1.1, B, “Florida-Specific Data on Traffic Crash Injuries and Fatalities” states, “The Dashboard provides a clear, intuitive overview of fatalities, injuries, and types of crashes.”"
